sample_id,label_name,label,source_sheet,excel_row
高危_r2,高危,2,汇总   高危   声 ,2
高危_r3,高危,2,汇总   高危   声 ,3
高危_r4,高危,2,汇总   高危   声 ,4
高危_r5,高危,2,汇总   高危   声 ,5
高危_r6,高危,2,汇总   高危   声 ,6
高危_r7,高危,2,汇总   高危   声 ,7
高危_r8,高危,2,汇总   高危   声 ,8
高危_r9,高危,2,汇总   高危   声 ,9
高危_r10,高危,2,汇总   高危   声 ,10
中危_r2,中危,1,汇总  中危组  声  ,2
中危_r3,中危,1,汇总  中危组  声  ,3
中危_r4,中危,1,汇总  中危组  声  ,4
中危_r5,中危,1,汇总  中危组  声  ,5
中危_r6,中危,1,汇总  中危组  声  ,6
中危_r7,中危,1,汇总  中危组  声  ,7
中危_r8,中危,1,汇总  中危组  声  ,8
中危_r9,中危,1,汇总  中危组  声  ,9
中危_r10,中危,1,汇总  中危组  声  ,10
低危_r2,低危,0,低危  声  总表  ,2
低危_r3,低危,0,低危  声  总表  ,3
低危_r4,低危,0,低危  声  总表  ,4
低危_r5,低危,0,低危  声  总表  ,5
低危_r6,低危,0,低危  声  总表  ,6
低危_r7,低危,0,低危  声  总表  ,7
低危_r8,低危,0,低危  声  总表  ,8
低危_r9,低危,0,低危  声  总表  ,9
低危_r10,低危,0,低危  声  总表  ,10
