model,version,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,mAP,pr_auc_macro
dummy,untrained,0.253±0.065,0.084±0.022,0.333±0.000,0.133±0.027,0.500±0.000,0.333±0.000,0.667±0.000
gnb,tuned,0.480±0.129,0.478±0.188,0.500±0.149,0.453±0.118,0.622±0.116,0.601±0.105,0.491±0.148
gnb,untuned,0.520±0.181,0.511±0.266,0.533±0.194,0.487±0.199,0.650±0.142,0.621±0.126,0.513±0.165
knn,tuned,0.373±0.131,0.283±0.067,0.367±0.163,0.304±0.094,0.558±0.140,0.492±0.136,0.519±0.094
knn,untuned,0.447±0.202,0.283±0.156,0.400±0.170,0.324±0.161,0.632±0.119,0.522±0.100,0.540±0.163
logistic,tuned,0.293±0.183,0.311±0.213,0.300±0.194,0.287±0.183,0.464±0.122,0.521±0.120,0.416±0.159
logistic,untuned,0.380±0.139,0.344±0.142,0.367±0.125,0.333±0.110,0.481±0.126,0.544±0.113,0.447±0.148
random_forest,tuned,0.560±0.049,0.504±0.076,0.533±0.067,0.483±0.037,0.592±0.092,0.603±0.085,0.506±0.128
random_forest,untuned,0.480±0.147,0.438±0.075,0.467±0.163,0.416±0.101,0.611±0.166,0.626±0.135,0.548±0.177
svm,tuned,0.407±0.053,0.306±0.096,0.400±0.082,0.329±0.077,0.511±0.141,0.542±0.071,0.434±0.054
svm,untuned,0.473±0.104,0.427±0.224,0.467±0.125,0.405±0.147,0.622±0.119,0.608±0.118,0.503±0.166
xgboost,tuned,0.473±0.164,0.467±0.143,0.433±0.170,0.427±0.145,0.642±0.148,0.643±0.115,0.560±0.128
xgboost,untuned,0.440±0.116,0.439±0.143,0.433±0.133,0.416±0.132,0.567±0.190,0.576±0.129,0.469±0.148
