sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r3,高危,2,1,0,0.21563082933425903,0.5745590329170227,0.20981015264987946
高危_r5,高危,2,2,0,0.329374760389328,0.27331864833831787,0.39730653166770935
中危_r2,中危,1,1,0,0.28481897711753845,0.4788566529750824,0.23632434010505676
中危_r3,中危,1,1,0,0.2313733547925949,0.45916199684143066,0.3094646632671356
低危_r4,低危,0,2,0,0.33833932876586914,0.316556453704834,0.34510424733161926
低危_r9,低危,0,2,0,0.3763298988342285,0.23604263365268707,0.387627512216568
高危_r7,高危,2,2,1,0.032565850764513016,0.39071133732795715,0.5767228007316589
高危_r9,高危,2,1,1,0.34896352887153625,0.39160045981407166,0.2594359815120697
中危_r5,中危,1,1,1,0.008492467924952507,0.8962450623512268,0.09526247531175613
中危_r10,中危,1,1,1,0.008423823863267899,0.8890007734298706,0.10257533937692642
低危_r3,低危,0,0,1,0.7872676253318787,0.1635577380657196,0.04917462542653084
低危_r8,低危,0,2,1,0.044609781354665756,0.3573920428752899,0.5979981422424316
高危_r4,高危,2,0,2,0.48399224877357483,0.3170067071914673,0.19900107383728027
高危_r8,高危,2,0,2,0.864007830619812,0.05447080358862877,0.08152131736278534
中危_r4,中危,1,1,2,0.06294158846139908,0.7623428702354431,0.17471559345722198
中危_r6,中危,1,2,2,0.03183360770344734,0.3482756018638611,0.6198908090591431
低危_r10,低危,0,2,2,0.4597055912017822,0.061093177646398544,0.47920116782188416
高危_r2,高危,2,1,3,0.15284013748168945,0.550341784954071,0.2968180477619171
高危_r10,高危,2,2,3,0.28056326508522034,0.2599392533302307,0.45949748158454895
中危_r9,中危,1,2,3,0.20515166223049164,0.19007110595703125,0.6047772169113159
低危_r5,低危,0,0,3,0.5868731737136841,0.13343462347984314,0.2796921730041504
低危_r7,低危,0,2,3,0.22949227690696716,0.21262246370315552,0.5578852295875549
高危_r6,高危,2,0,4,0.5818151831626892,0.21201837062835693,0.20616641640663147
中危_r7,中危,1,1,4,0.22125384211540222,0.425780326128006,0.3529658913612366
中危_r8,中危,1,1,4,0.1524084061384201,0.42487895488739014,0.4227125942707062
低危_r2,低危,0,2,4,0.281721293926239,0.2688492238521576,0.4494295120239258
低危_r6,低危,0,0,4,0.5128751397132874,0.23323389887809753,0.2538909912109375
