seed,model,version,fold,best_params,best_inner_score,train_accuracy,train_f1_macro,train_time_s,prediction_time_s,warnings,metrics
43,logistic,untuned,0,{},,0.8571428571428571,0.8600732600732601,0.0048724999996920815,0.0007949000000735396,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.0, 'precision_macro': 0.0, 'recall_macro': 0.0, 'f1_macro': 0.0, 'precision_weighted': 0.0, 'recall_weighted': 0.0, 'f1_weighted': 0.0, 'per_class_precision': [0.0, 0.0, 0.0], 'per_class_recall': [0.0, 0.0, 0.0], 'per_class_f1': [0.0, 0.0, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.375, 1.0, 0.0], 'roc_auc_macro': 0.4583333333333333, 'ap_ovr': [0.3666666666666667, 1.0, 0.26666666666666666], 'mAP': 0.5444444444444444, 'pr_auc_ovr': [0.24583333333333335, 1.0, 0.18333333333333335], 'pr_auc_macro': 0.4763888888888889, 'confusion_matrix': [[0, 0, 2], [0, 0, 2], [2, 0, 0]]}"
43,logistic,untuned,1,{},,0.7142857142857143,0.701923076923077,0.004433000000062748,0.0006560000001627486,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.16666666666666666, 'precision_macro': 0.1111111111111111, 'recall_macro': 0.16666666666666666, 'f1_macro': 0.13333333333333333, 'precision_weighted': 0.1111111111111111, 'recall_weighted': 0.16666666666666666, 'f1_weighted': 0.13333333333333333, 'per_class_precision': [0.0, 0.3333333333333333, 0.0], 'per_class_recall': [0.0, 0.5, 0.0], 'per_class_f1': [0.0, 0.4, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.75, 0.625, 0.0], 'roc_auc_macro': 0.4583333333333333, 'ap_ovr': [0.5833333333333333, 0.5, 0.26666666666666666], 'mAP': 0.44999999999999996, 'pr_auc_ovr': [0.41666666666666663, 0.3333333333333333, 0.18333333333333335], 'pr_auc_macro': 0.3111111111111111, 'confusion_matrix': [[0, 1, 1], [0, 1, 1], [1, 1, 0]]}"
43,logistic,untuned,2,{},,0.7727272727272727,0.7683501683501683,0.00418020000006436,0.001027799999974377,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.4, 'precision_macro': 0.4444444444444444, 'recall_macro': 0.5, 'f1_macro': 0.4666666666666666, 'precision_weighted': 0.3333333333333333, 'recall_weighted': 0.4, 'f1_weighted': 0.36, 'per_class_precision': [1.0, 0.0, 0.3333333333333333], 'per_class_recall': [1.0, 0.0, 0.5], 'per_class_f1': [1.0, 0.0, 0.4], 'support': [1, 2, 2], 'roc_auc_ovr': [1.0, 0.33333333333333337, 0.16666666666666669], 'roc_auc_macro': 0.5000000000000001, 'ap_ovr': [1.0, 0.41666666666666663, 0.3666666666666667], 'mAP': 0.5944444444444444, 'pr_auc_ovr': [1.0, 0.29166666666666663, 0.24583333333333335], 'pr_auc_macro': 0.5125, 'confusion_matrix': [[1, 0, 0], [0, 0, 2], [0, 1, 1]]}"
43,logistic,untuned,3,{},,0.8181818181818182,0.8026143790849672,0.005210000000261061,0.0006567000000359258,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.0, 'precision_macro': 0.0, 'recall_macro': 0.0, 'f1_macro': 0.0, 'precision_weighted': 0.0, 'recall_weighted': 0.0, 'f1_weighted': 0.0, 'per_class_precision': [0.0, 0.0, 0.0], 'per_class_recall': [0.0, 0.0, 0.0], 'per_class_f1': [0.0, 0.0, 0.0], 'support': [2, 1, 2], 'roc_auc_ovr': [0.6666666666666667, 0.5, 0.16666666666666669], 'roc_auc_macro': 0.4444444444444445, 'ap_ovr': [0.5833333333333333, 0.3333333333333333, 0.3666666666666667], 'mAP': 0.42777777777777776, 'pr_auc_ovr': [0.41666666666666663, 0.16666666666666666, 0.24583333333333335], 'pr_auc_macro': 0.27638888888888885, 'confusion_matrix': [[0, 0, 2], [1, 0, 0], [0, 2, 0]]}"
43,logistic,untuned,4,{},,0.7272727272727273,0.7238095238095239,0.005940600000030827,0.0006822999998803425,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.4, 'precision_macro': 0.3333333333333333, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.3333333333333333, 'precision_weighted': 0.4, 'recall_weighted': 0.4, 'f1_weighted': 0.4, 'per_class_precision': [0.5, 0.5, 0.0], 'per_class_recall': [0.5, 0.5, 0.0], 'per_class_f1': [0.5, 0.5, 0.0], 'support': [2, 2, 1], 'roc_auc_ovr': [0.33333333333333337, 0.33333333333333337, 0.25], 'roc_auc_macro': 0.3055555555555556, 'ap_ovr': [0.45, 0.45, 0.25], 'mAP': 0.3833333333333333, 'pr_auc_ovr': [0.2875, 0.2875, 0.125], 'pr_auc_macro': 0.2333333333333333, 'confusion_matrix': [[1, 1, 0], [0, 1, 1], [1, 0, 0]]}"
43,logistic,tuned,0,{'C': 0.1},0.3610229276895944,0.6666666666666666,0.6547619047619048,0.11837119999972856,0.0007519000000684173,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.3333333333333333, 'precision_macro': 0.4444444444444444, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.35555555555555557, 'precision_weighted': 0.4444444444444444, 'recall_weighted': 0.3333333333333333, 'f1_weighted': 0.35555555555555557, 'per_class_precision': [0.3333333333333333, 1.0, 0.0], 'per_class_recall': [0.5, 0.5, 0.0], 'per_class_f1': [0.4, 0.6666666666666666, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.5, 1.0, 0.0], 'roc_auc_macro': 0.5, 'ap_ovr': [0.41666666666666663, 1.0, 0.26666666666666666], 'mAP': 0.561111111111111, 'pr_auc_ovr': [0.29166666666666663, 1.0, 0.18333333333333335], 'pr_auc_macro': 0.49166666666666664, 'confusion_matrix': [[1, 0, 1], [0, 1, 1], [2, 0, 0]]}"
43,logistic,tuned,1,{'C': 10.0},0.41111111111111115,0.9047619047619048,0.9047619047619048,0.12836710000010498,0.0008505999999215419,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.3333333333333333, 'precision_macro': 0.3333333333333333, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.3333333333333333, 'precision_weighted': 0.3333333333333333, 'recall_weighted': 0.3333333333333333, 'f1_weighted': 0.3333333333333333, 'per_class_precision': [0.5, 0.5, 0.0], 'per_class_recall': [0.5, 0.5, 0.0], 'per_class_f1': [0.5, 0.5, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.375, 0.625, 0.0], 'roc_auc_macro': 0.3333333333333333, 'ap_ovr': [0.41666666666666663, 0.5, 0.26666666666666666], 'mAP': 0.39444444444444443, 'pr_auc_ovr': [0.2583333333333333, 0.3333333333333333, 0.18333333333333335], 'pr_auc_macro': 0.2583333333333333, 'confusion_matrix': [[1, 0, 1], [0, 1, 1], [1, 1, 0]]}"
43,logistic,tuned,2,{'C': 10.0},0.29470899470899475,0.7727272727272727,0.7730769230769231,0.12464700000009543,0.0008120000002236338,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.08333333333333333, 'recall_macro': 0.16666666666666666, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.1, 'recall_weighted': 0.2, 'f1_weighted': 0.13333333333333333, 'per_class_precision': [0.0, 0.0, 0.25], 'per_class_recall': [0.0, 0.0, 0.5], 'per_class_f1': [0.0, 0.0, 0.3333333333333333], 'support': [1, 2, 2], 'roc_auc_ovr': [0.75, 0.33333333333333337, 0.16666666666666669], 'roc_auc_macro': 0.41666666666666674, 'ap_ovr': [0.5, 0.41666666666666663, 0.3666666666666667], 'mAP': 0.42777777777777776, 'pr_auc_ovr': [0.25, 0.29166666666666663, 0.24583333333333335], 'pr_auc_macro': 0.2625, 'confusion_matrix': [[0, 0, 1], [0, 0, 2], [1, 0, 1]]}"
43,logistic,tuned,3,{'C': 1.0},0.3896825396825397,0.8181818181818182,0.8026143790849672,0.11617580000029193,0.0007761000001664797,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.0, 'precision_macro': 0.0, 'recall_macro': 0.0, 'f1_macro': 0.0, 'precision_weighted': 0.0, 'recall_weighted': 0.0, 'f1_weighted': 0.0, 'per_class_precision': [0.0, 0.0, 0.0], 'per_class_recall': [0.0, 0.0, 0.0], 'per_class_f1': [0.0, 0.0, 0.0], 'support': [2, 1, 2], 'roc_auc_ovr': [0.6666666666666667, 0.5, 0.16666666666666669], 'roc_auc_macro': 0.4444444444444445, 'ap_ovr': [0.5833333333333333, 0.3333333333333333, 0.3666666666666667], 'mAP': 0.42777777777777776, 'pr_auc_ovr': [0.41666666666666663, 0.16666666666666666, 0.24583333333333335], 'pr_auc_macro': 0.27638888888888885, 'confusion_matrix': [[0, 0, 2], [1, 0, 0], [0, 2, 0]]}"
43,logistic,tuned,4,{'C': 10.0},0.335978835978836,0.7727272727272727,0.777418659771601,0.12450080000007802,0.0008669999997437117,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.08333333333333333, 'recall_macro': 0.16666666666666666, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.1, 'recall_weighted': 0.2, 'f1_weighted': 0.13333333333333333, 'per_class_precision': [0.0, 0.25, 0.0], 'per_class_recall': [0.0, 0.5, 0.0], 'per_class_f1': [0.0, 0.3333333333333333, 0.0], 'support': [2, 2, 1], 'roc_auc_ovr': [0.5, 0.33333333333333337, 0.25], 'roc_auc_macro': 0.36111111111111116, 'ap_ovr': [0.7, 0.45, 0.25], 'mAP': 0.4666666666666666, 'pr_auc_ovr': [0.6625, 0.2875, 0.125], 'pr_auc_macro': 0.35833333333333334, 'confusion_matrix': [[0, 2, 0], [0, 1, 1], [0, 1, 0]]}"
