sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r8,高危,2,0,0,0.6666666666666666,0.3333333333333333,0.0
高危_r9,高危,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
中危_r3,中危,1,1,0,0.0,1.0,0.0
中危_r7,中危,1,2,0,0.0,0.3333333333333333,0.6666666666666666
低危_r3,低危,0,0,0,0.6666666666666666,0.3333333333333333,0.0
低危_r10,低危,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
高危_r2,高危,2,0,1,0.6450845961480672,0.3549154038519328,0.0
高危_r6,高危,2,0,1,0.58485832103091,0.4151416789690901,0.0
中危_r6,中危,1,2,1,0.0,0.4066114943691324,0.5933885056308675
中危_r10,中危,1,1,1,0.0,0.610603892233559,0.38939610776644096
低危_r7,低危,0,0,1,1.0,0.0,0.0
低危_r8,低危,0,2,1,0.26042162490595,0.3074230386427226,0.4321553364513274
高危_r7,高危,2,0,2,1.0,0.0,0.0
高危_r10,高危,2,1,2,0.0,1.0,0.0
中危_r2,中危,1,1,2,0.0,1.0,0.0
中危_r5,中危,1,1,2,0.0,1.0,0.0
低危_r2,低危,0,1,2,0.0,1.0,0.0
高危_r4,高危,2,1,3,0.0,0.6968320808515108,0.3031679191484893
高危_r5,高危,2,1,3,0.0,0.6840066246569863,0.31599337534301375
中危_r9,中危,1,1,3,0.3129099742203779,0.36966706539476973,0.3174229603848524
低危_r5,低危,0,0,3,0.6159575400284822,0.0,0.3840424599715177
低危_r6,低危,0,0,3,0.6096982740729839,0.0,0.39030172592701606
高危_r3,高危,2,1,4,0.2,0.6,0.2
中危_r4,中危,1,1,4,0.4,0.6,0.0
中危_r8,中危,1,1,4,0.0,0.6,0.4
低危_r4,低危,0,1,4,0.2,0.6,0.2
低危_r9,低危,0,0,4,0.6,0.4,0.0
