sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r8,高危,2,0,0,0.7015073725373857,0.1943049679758353,0.10418765948677884
高危_r9,高危,2,0,0,0.8229962214771608,0.16897608856500893,0.008027689957830294
中危_r3,中危,1,2,0,0.30056245698711975,0.3273378574022467,0.37209968561063356
中危_r7,中危,1,1,0,0.18181175172582673,0.43100344145537944,0.38718480681879375
低危_r3,低危,0,0,0,0.47302955199265,0.1992011385276437,0.32776930947970623
低危_r10,低危,0,2,0,0.33451796470073836,0.3059628980845459,0.35951913721471573
高危_r2,高危,2,1,1,0.027171486459757126,0.9727944819716451,3.403156859782544e-05
高危_r6,高危,2,0,1,0.9999758123342473,2.2198616854994926e-05,1.9890488976826503e-06
中危_r6,中危,1,2,1,0.014614658435118342,0.10000977136423393,0.8853755702006478
中危_r10,中危,1,1,1,0.014153143837193433,0.9627854899176893,0.023061366245117305
低危_r7,低危,0,2,1,0.001857197163862986,0.09435129530633679,0.9037915075298002
低危_r8,低危,0,0,1,0.5162984098181819,0.36992384662672184,0.11377774355509632
高危_r7,高危,2,0,2,0.7503549838416272,0.23510655283056675,0.014538463327806006
高危_r10,高危,2,2,2,0.0011437287417885788,0.10151172117355442,0.8973445500846569
中危_r2,中危,1,2,2,0.002553760531226487,0.08308373058762218,0.9143625088811513
中危_r5,中危,1,2,2,0.002334484920190081,0.047739414909567034,0.9499261001702429
低危_r2,低危,0,2,2,0.29695882088475173,0.016359521564867276,0.686681657550381
高危_r4,高危,2,1,3,0.014376076401345209,0.9380189172016421,0.04760500639701253
高危_r5,高危,2,1,3,0.014920740147237014,0.6981131382130547,0.28696612163970825
中危_r9,中危,1,0,3,0.683636373999317,0.030242601755748416,0.28612102424493463
低危_r5,低危,0,2,3,0.2855575597719197,0.009955330399965573,0.7044871098281147
低危_r6,低危,0,2,3,0.05409864302389968,0.002687052906866233,0.943214304069234
高危_r3,高危,2,1,4,0.048842277093090164,0.9070718583396682,0.044085864567241694
中危_r4,中危,1,1,4,0.00978006157652682,0.918682481798898,0.07153745662457513
中危_r8,中危,1,2,4,1.561081681130802e-06,0.38222332387401414,0.6177751150443048
低危_r4,低危,0,1,4,1.9524086480365052e-07,0.9997650929263572,0.0002347118327780253
低危_r9,低危,0,1,4,0.21863566209339785,0.39819661427234765,0.3831677236342544
