sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r8,高危,2,0,0,0.9651314084060424,0.031455377452000506,0.0034132141419571838
高危_r9,高危,2,0,0,0.9994101416209917,0.0005898455531411798,1.282586712609873e-08
中危_r3,中危,1,2,0,0.2321824489673736,0.30905458291585663,0.4587629681167698
中危_r7,中危,1,2,0,0.05497094594934418,0.44209321077199604,0.5029358432786598
低危_r3,低危,0,2,0,0.3301440118650195,0.06979132511546499,0.6000646630195154
低危_r10,低危,0,2,0,0.22347949576204584,0.23451592054877277,0.5420045836891814
高危_r2,高危,2,1,1,0.11164750918234267,0.8851908209029079,0.0031616699147495276
高危_r6,高危,2,0,1,0.9788657972650476,0.013279888709912844,0.007854314025039496
中危_r6,中危,1,2,1,0.12622652317522035,0.22062003148234702,0.6531534453424326
中危_r10,中危,1,1,1,0.05400807240420265,0.8048440657071344,0.14114786188866302
低危_r7,低危,0,2,1,0.38401803734426676,0.21880434275453214,0.39717761990120115
低危_r8,低危,0,1,1,0.2747223271139041,0.48332301227046776,0.24195466061562806
高危_r7,高危,2,1,2,0.4030173007422561,0.44023402020994473,0.15674867904779907
高危_r10,高危,2,2,2,0.08557190338944298,0.36525141835294095,0.5491766782576161
中危_r2,中危,1,2,2,0.10203467184921626,0.3432148068419372,0.5547505213088466
中危_r5,中危,1,2,2,0.11826515567108346,0.27905992939789054,0.602674914931026
低危_r2,低危,0,0,2,0.4590988356194621,0.10202131267313697,0.438879851707401
高危_r4,高危,2,1,3,0.014376076401345209,0.9380189172016421,0.04760500639701253
高危_r5,高危,2,1,3,0.014920740147237014,0.6981131382130547,0.28696612163970825
中危_r9,中危,1,0,3,0.683636373999317,0.030242601755748416,0.28612102424493463
低危_r5,低危,0,2,3,0.2855575597719197,0.009955330399965573,0.7044871098281147
低危_r6,低危,0,2,3,0.05409864302389968,0.002687052906866233,0.943214304069234
高危_r3,高危,2,0,4,0.6875216236273783,0.22909682248914792,0.08338155388347383
中危_r4,中危,1,1,4,0.10273405860036366,0.6583010571282092,0.2389648842714271
中危_r8,中危,1,2,4,0.004176700622839428,0.18440592248742707,0.8114173768897336
低危_r4,低危,0,1,4,0.0032313293024195692,0.9444610321682562,0.052307638529324345
低危_r9,低危,0,0,4,0.5695178231689086,0.24657464891235997,0.18390752791873136
