sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r8,高危,2,0,0,0.72,0.13,0.15
高危_r9,高危,2,0,0,0.4,0.29,0.31
中危_r3,中危,1,1,0,0.2,0.5,0.3
中危_r7,中危,1,2,0,0.11,0.41,0.48
低危_r3,低危,0,0,0,0.67,0.19,0.14
低危_r10,低危,0,0,0,0.41,0.26,0.33
高危_r2,高危,2,1,1,0.3,0.43,0.27
高危_r6,高危,2,0,1,0.57,0.28,0.15
中危_r6,中危,1,1,1,0.02,0.61,0.37
中危_r10,中危,1,1,1,0.05,0.72,0.23
低危_r7,低危,0,2,1,0.32,0.24,0.44
低危_r8,低危,0,2,1,0.04,0.41,0.55
高危_r7,高危,2,1,2,0.26,0.46,0.28
高危_r10,高危,2,1,2,0.35,0.36,0.29
中危_r2,中危,1,2,2,0.27,0.33,0.4
中危_r5,中危,1,1,2,0.24,0.56,0.2
低危_r2,低危,0,0,2,0.61,0.13,0.26
高危_r4,高危,2,1,3,0.26,0.59,0.15
高危_r5,高危,2,1,3,0.23,0.46,0.31
中危_r9,中危,1,2,3,0.24,0.24,0.52
低危_r5,低危,0,0,3,0.51,0.06,0.43
低危_r6,低危,0,2,3,0.32,0.07,0.61
高危_r3,高危,2,1,4,0.2,0.56,0.24
中危_r4,中危,1,1,4,0.14,0.63,0.23
中危_r8,中危,1,1,4,0.08,0.53,0.39
低危_r4,低危,0,0,4,0.36,0.29,0.35
低危_r9,低危,0,0,4,0.34,0.34,0.32
