sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r8,高危,2,0,0,0.9595403671264648,0.023721225559711456,0.016738351434469223
高危_r9,高危,2,0,0,0.6574844717979431,0.28003638982772827,0.062479157000780106
中危_r3,中危,1,1,0,0.007736397907137871,0.965773344039917,0.026490209624171257
中危_r7,中危,1,1,0,0.009357523173093796,0.7968042492866516,0.1938381940126419
低危_r3,低危,0,0,0,0.7072258591651917,0.2490830421447754,0.043691109865903854
低危_r10,低危,0,0,0,0.83232182264328,0.05729969963431358,0.1103784590959549
高危_r2,高危,2,1,1,0.025156879797577858,0.9212005734443665,0.053642548620700836
高危_r6,高危,2,0,1,0.9829015731811523,0.01343225035816431,0.003666119184345007
中危_r6,中危,1,2,1,0.004219548311084509,0.376931369304657,0.6188490986824036
中危_r10,中危,1,1,1,0.008242628537118435,0.8901878595352173,0.1015695184469223
低危_r7,低危,0,1,1,0.09081144630908966,0.6544419527053833,0.25474661588668823
低危_r8,低危,0,2,1,0.014625228941440582,0.10214132070541382,0.8832334876060486
高危_r7,高危,2,2,2,0.12916859984397888,0.2665289640426636,0.6043024659156799
高危_r10,高危,2,0,2,0.679216742515564,0.03098032809793949,0.2898029386997223
中危_r2,中危,1,2,2,0.2956015169620514,0.20405280590057373,0.5003456473350525
中危_r5,中危,1,1,2,0.02670860104262829,0.9279743432998657,0.04531700909137726
低危_r2,低危,0,2,2,0.10577335953712463,0.03043273836374283,0.8637938499450684
高危_r4,高危,2,1,3,0.39640170335769653,0.42141374945640564,0.18218450248241425
高危_r5,高危,2,2,3,0.40223246812820435,0.14417719841003418,0.4535903334617615
中危_r9,中危,1,2,3,0.08673502504825592,0.053033702075481415,0.8602312803268433
低危_r5,低危,0,2,3,0.45296943187713623,0.017448777332901955,0.5295817852020264
低危_r6,低危,0,2,3,0.4257259964942932,0.04137418791651726,0.532899796962738
高危_r3,高危,2,2,4,0.042337872087955475,0.3551716208457947,0.6024904847145081
中危_r4,中危,1,1,4,0.015334117226302624,0.9461898803710938,0.038476016372442245
中危_r8,中危,1,2,4,0.006625879555940628,0.3897223472595215,0.603651762008667
低危_r4,低危,0,0,4,0.6804144382476807,0.1395353525876999,0.18005022406578064
低危_r9,低危,0,2,4,0.1408585011959076,0.034670475870370865,0.8244710564613342
