sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r4,高危,2,1,0,0.00024148493539774378,0.9824457758398022,0.01731273922480335
高危_r8,高危,2,0,0,0.9984765202615988,1.5320158396058362e-12,0.001523479736865846
中危_r6,中危,1,2,0,0.17652259889853922,2.5946704861892993e-15,0.8234774011014628
中危_r7,中危,1,1,0,0.0016562138148856849,0.9735577296077917,0.024786056577322538
低危_r4,低危,0,1,0,0.31534062009105873,0.6306860757661137,0.05397330414282705
低危_r7,低危,0,0,0,0.999912514559276,5.70519328488917e-54,8.74854407182722e-05
高危_r3,高危,2,0,1,0.9822558319882185,6.386438586601624e-10,0.017744167373143268
高危_r9,高危,2,2,1,6.813138281991754e-20,1.127657604819207e-25,1.0
中危_r8,中危,1,0,1,0.6609780635381,1.5429698010866748e-23,0.33902193646189926
中危_r10,中危,1,1,1,0.00374383555536591,0.8326646948945088,0.1635914695501225
低危_r2,低危,0,2,1,0.19325186555563445,0.018293669218165037,0.7884544652262033
低危_r5,低危,0,0,1,0.9905395287835218,3.221365451310894e-29,0.009460471216475346
高危_r7,高危,2,1,2,0.07734650057952328,0.8749578351327193,0.04769566428775772
高危_r10,高危,2,1,2,0.026152510644553335,0.8863682025987217,0.08747928675672684
中危_r2,中危,1,2,2,0.44778857070348427,0.056550400185672055,0.4956610291108424
中危_r3,中危,1,1,2,0.10282481413897243,0.8618979240263065,0.03527726183471817
低危_r9,低危,0,0,2,0.9955573477427824,1.5865067555637576e-06,0.004441065750460811
高危_r2,高危,2,0,3,0.5499889342962065,0.45001106570378696,1.67603883707995e-16
高危_r6,高危,2,0,3,0.9559260004375547,0.00013641049073977393,0.043937589071701304
中危_r4,中危,1,1,3,0.3763440630022358,0.3860494539346474,0.23760648306311508
低危_r6,低危,0,0,3,0.9999999998189395,2.0066076918055806e-21,1.810575343630886e-10
低危_r10,低危,0,0,3,0.8726630593309066,0.0006848330512677631,0.12665210761782478
高危_r5,高危,2,1,4,0.00036349175940985555,0.9961203370199739,0.0035161712206139136
中危_r5,中危,1,2,4,0.006163030082768546,0.00025459375830670764,0.9935823761589214
中危_r9,中危,1,1,4,0.11532738010651913,0.5805609363465564,0.30411168354692203
低危_r3,低危,0,0,4,0.848893569597974,6.402511845864904e-05,0.15104240528356652
低危_r8,低危,0,2,4,2.480531454472839e-05,1.915866394469038e-07,0.9999750030988132
