sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r4,高危,2,1,0,0.17,0.49,0.34
高危_r8,高危,2,0,0,0.67,0.18,0.15
中危_r6,中危,1,2,0,0.13,0.42,0.45
中危_r7,中危,1,1,0,0.22,0.42,0.36
低危_r4,低危,0,0,0,0.37,0.28,0.35
低危_r7,低危,0,2,0,0.28,0.21,0.51
高危_r3,高危,2,1,1,0.31,0.41,0.28
高危_r9,高危,2,0,1,0.45,0.31,0.24
中危_r8,中危,1,2,1,0.08,0.41,0.51
中危_r10,中危,1,1,1,0.12,0.61,0.27
低危_r2,低危,0,0,1,0.45,0.19,0.36
低危_r5,低危,0,0,1,0.54,0.08,0.38
高危_r7,高危,2,1,2,0.3180104386354389,0.4058493543493541,0.2761402070152072
高危_r10,高危,2,0,2,0.43749083786583803,0.2772961945461946,0.28521296758796777
中危_r2,中危,1,2,2,0.31121626059126073,0.3247043142043142,0.36407942520442516
中危_r3,中危,1,2,2,0.3081182197432199,0.3420917878417878,0.3497899924149923
低危_r9,低危,0,0,2,0.420344747844748,0.1986340881340881,0.38102116402116387
高危_r2,高危,2,1,3,0.3376565656565654,0.4566182706182705,0.20572516372516383
高危_r6,高危,2,0,3,0.5277799792799794,0.2144246864246866,0.2577953342953343
中危_r4,中危,1,1,3,0.17716301291301303,0.5114600399600399,0.311376947126947
低危_r6,低危,0,0,3,0.49082551707551697,0.2238598253598254,0.2853146575646575
低危_r10,低危,0,0,3,0.5616386853886852,0.1427553742553743,0.2956059403559404
高危_r5,高危,2,2,4,0.12451226551226549,0.3265941558441559,0.5488935786435785
中危_r5,中危,1,1,4,0.08808902208902211,0.5205626595626597,0.39134831834831835
中危_r9,中危,1,2,4,0.1977117327117327,0.187982794982795,0.6143054723054721
低危_r3,低危,0,0,4,0.571235458985459,0.19356912531912535,0.23519541569541566
低危_r8,低危,0,2,4,0.13889205239205235,0.2281848151848152,0.6329231324231323
