model,model_label,metric,point,ci_lo,ci_hi,n_boot,n_valid,n_invalid
logistic,逻辑回归,accuracy,0.2962962962962963,0.14814814814814814,0.48148148148148145,2000,2000,0
logistic,逻辑回归,f1_macro,0.3085901027077498,0.13121428571428573,0.4703818841976734,2000,2000,0
logistic,逻辑回归,roc_auc_macro,0.45679012345679015,0.3291113813946631,0.6044658363079416,2000,2000,0
logistic,逻辑回归,mAP,0.36096856915061853,0.309916846076005,0.5287504719180445,2000,2000,0
logistic,逻辑回归,pr_auc_macro,0.3205229833650737,0.2557753971959395,0.46395857078864156,2000,2000,0
svm,SVM,accuracy,0.4074074074074074,0.2222222222222222,0.5925925925925926,2000,2000,0
svm,SVM,f1_macro,0.3653000594177065,0.22556390977443608,0.507937441643324,2000,2000,0
svm,SVM,roc_auc_macro,0.5370370370370371,0.3753713941717038,0.6903539178829426,2000,2000,0
svm,SVM,mAP,0.46800989313066604,0.36671984498225846,0.6148221950206291,2000,2000,0
svm,SVM,pr_auc_macro,0.4429919146991881,0.31175907808199127,0.5775498459930416,2000,2000,0
gnb,高斯朴素贝叶斯,accuracy,0.48148148148148145,0.2962962962962963,0.6666666666666666,2000,2000,0
gnb,高斯朴素贝叶斯,f1_macro,0.4806788212360968,0.3010092685092685,0.6461640211640212,2000,2000,0
gnb,高斯朴素贝叶斯,roc_auc_macro,0.5864197530864198,0.42419689621078516,0.7553152557319223,2000,2000,0
gnb,高斯朴素贝叶斯,mAP,0.5007294753913111,0.38854649704040056,0.7004874519100062,2000,2000,0
gnb,高斯朴素贝叶斯,pr_auc_macro,0.46972414607362484,0.3304564363193346,0.6563122334652709,2000,2000,0
knn,KNN,accuracy,0.37037037037037035,0.18518518518518517,0.5555555555555556,2000,2000,0
knn,KNN,f1_macro,0.3159420289855072,0.17676532404793274,0.4394011544011544,2000,2000,0
knn,KNN,roc_auc_macro,0.551440329218107,0.4089733980011757,0.7104359086129918,2000,2000,0
knn,KNN,mAP,0.4227559991448881,0.34543555595638936,0.5870171306317138,2000,2000,0
knn,KNN,pr_auc_macro,0.4073410162480211,0.2950762170407616,0.5617435991785514,2000,2000,0
random_forest,随机森林,accuracy,0.5555555555555556,0.37037037037037035,0.7407407407407407,2000,2000,0
random_forest,随机森林,f1_macro,0.5386243386243387,0.362249066293184,0.7013548136645961,2000,2000,0
random_forest,随机森林,roc_auc_macro,0.588477366255144,0.4402478551807196,0.7265849132863021,2000,2000,0
random_forest,随机森林,mAP,0.5206295112063796,0.40942587912528383,0.679871946279841,2000,2000,0
random_forest,随机森林,pr_auc_macro,0.494524437247082,0.34809776772538775,0.6424168111866214,2000,2000,0
xgboost,XGBoost,accuracy,0.48148148148148145,0.2962962962962963,0.6666666666666666,2000,2000,0
xgboost,XGBoost,f1_macro,0.4789473684210526,0.29485329485329487,0.6456174750601994,2000,2000,0
xgboost,XGBoost,roc_auc_macro,0.6584362139917695,0.504472295253384,0.8106537176274018,2000,2000,0
xgboost,XGBoost,mAP,0.5425149032921127,0.4443488155567897,0.7302429593195789,2000,2000,0
xgboost,XGBoost,pr_auc_macro,0.5065329158396493,0.38320697720903907,0.6789482137716191,2000,2000,0
dummy,Dummy 基线,accuracy,0.25925925925925924,0.1111111111111111,0.4074074074074074,2000,2000,0
dummy,Dummy 基线,f1_macro,0.22344322344322345,0.08333333333333333,0.36327985739750446,2000,2000,0
dummy,Dummy 基线,roc_auc_macro,0.4197530864197532,0.3132457344610122,0.5525380449229133,2000,2000,0
dummy,Dummy 基线,mAP,0.30108932461873633,0.29365969423831906,0.3874568502485168,2000,2000,0
dummy,Dummy 基线,pr_auc_macro,0.31590413943355117,0.21103283653528748,0.46065343811651205,2000,2000,0
